1,7
2,6
3,5
4,8
7,7
8,5
9,0
10,6
11,6
12,0
13,5
14,8
15,1
16,8
17,5
18,4
19,9
20,2
21,0
22,8
23,2
24,2
25,8
26,8
27,2
28,2
29,2
30,7
31,1
32,2
33,7
35,9
36,6
37,0
38,0
39,4
41,0
42,3
43,7
44,6
45,1
46,2
47,2
48,0
49,2
50,4
51,7
52,5
53,2
54,7
55,5
56,6
57,6
59,3
60,2
61,3
62,6
63,8
64,3
65,7
66,1
67,8
68,9
69,4
70,7
71,8
72,4
73,1
74,3
75,7
76,5
77,9
78,2
79,7
80,4
81,7
82,6
83,4
84,0
85,3
86,4
87,2
88,2
89,7
90,1
91,7
93,4
94,2
95,0
96,3
97,8
98,3
99,7
100,2
101,2
102,2
104,5
105,9
106,2
107,2
109,2
110,7
112,6
114,1
115,4
116,0
117,1
118,6
119,9
120,5
121,7
122,2
123,3
124,7
125,3
126,4
127,2
128,6
129,0
130,5
131,4
132,5
133,6
134,4
135,9
136,4
137,9
138,6
139,5
140,3
142,5
143,6
144,1
146,7
148,2
150,5
151,1
152,8
153,5
154,3
156,5
157,5
158,2
159,7
160,7
161,2
162,2
164,0
165,6
166,2
167,3
169,8
170,4
171,7
172,4
173,3
174,9
175,8
176,0
177,0
179,1
180,1
181,3
182,2
183,6
184,2
185,7
186,9
188,7
189,8
190,6
192,7
193,2
195,6
196,1
197,8
198,5
199,0
200,4
201,1
202,1
203,6
204,5
205,5
206,3
207,8
208,2
209,9
210,4
211,7
212,7
213,5
214,6
215,4
216,5
217,6
218,2
219,5
220,9
221,8
222,7
223,7
224,3
225,6
226,2
227,1
228,7
229,6
230,5
231,9
232,8
233,1
234,1
235,3
237,9
238,9
239,3
240,2
241,2
242,7
243,8
244,8
245,8
246,3
247,0
249,8
250,2
251,4
253,3
254,1
255,9
257,4
258,8
259,9
260,5
261,4
262,1
263,0
264,3
265,9
266,3
267,8
268,5
269,4
270,8
271,2
272,6
273,0
274,6
275,0
276,5
278,5
279,0
280,3
281,2
282,9
283,6
284,2
285,6
286,4
288,9
289,6
290,5
291,8
292,5
293,4
294,3
295,8
296,4
297,1
298,2
299,5
301,2
302,3
303,5
304,7
305,8
306,5
307,7
308,4
309,5
310,0
313,8
314,7
315,8
316,5
317,4
318,9
319,4
321,4
323,9
324,3
327,4
329,4
330,8
331,1
332,9
333,6
334,9
335,3
337,6
338,5
340,1
341,7
342,3
343,3
345,9
346,7
347,5
348,1
349,4
350,9
351,5
352,7
353,9
354,9
355,6
357,2
360,9
362,0
364,1
365,3
366,7
367,8
368,8
369,0
370,0
